sample_id,source_task_id,split,correction_for,decision,required_changes,reviewer,reviewed_at
f37503583fffc5db86742ae81d8a25feb3e7030f44ac31bea4f5e70b27926b2b,crm_select_northstar,validation,canonical,,,,
3e459a5022c7ae5a532ce0dc82458252305469976cf5f27c1941825f45fc0507,crm_select_northstar,validation,interface_repair,,,,
28a9b093da3329e92464b39c060b6078db9025a213a391642fe686311bccd166,crm_select_northstar,validation,canonical,,,,
63d3c65f97a6b9de5e05360347fc91e4952c2228a565de40b01263b395623f05,crm_select_northstar,validation,interface_repair,,,,
174aa651d0a7569a9738c0253e7e251a249b2e6825bf6638a8d2652b2b521b2f,crm_save_harbor_note,train,canonical,,,,
bb9e4a4c06cb72a15063a52bcbc7d6746691beefafd32ff32b0d0c7af4af9a43,crm_save_harbor_note,train,interface_repair,,,,
e67fc72e018f742e34a516b141aeb759415c0a095468a83951d543537758e07c,crm_save_harbor_note,train,canonical,,,,
ba803db5f9d3b49a73ca0aa16f8d72676beedd47304b3070a6552d3ddc499d51,crm_save_harbor_note,train,interface_repair,,,,
29502e2f279a555e67641ad4ecfe3ef52bcbb4052dfac4301ad1a865ffe43ec1,crm_save_harbor_note,train,canonical,,,,
f87a2938fba6e91b5326d7a89de23348c0cabf34494de442e846be7ae48d59a2,crm_save_harbor_note,train,interface_repair,,,,
33f332db1f978f16013f96dcebbe10ab43894c0fd41c4aa0f60b5dc334149f0b,jobs_remote_mid_data_scientist,train,canonical,,,,
6a2f7b7f59004bf1fdf9eeca7893a0f2d7de046942270e7339831ffb8359b78e,jobs_remote_mid_data_scientist,train,interface_repair,,,,
87b8892a3ba0ce9c6bc6591ab49398d74d2a1a20f22c3e0b425a0d20eaceeab1,jobs_remote_mid_data_scientist,train,canonical,,,,
190d5489996c3bab71dceb7a0b144ded0b0abc751f57292155f557a40f71ab74,jobs_remote_mid_data_scientist,train,interface_repair,,,,
33e08e14f9ad5e3531a0b21db0c6af09eeed25fdb85c0f3635dbc3df2bda45c9,jobs_remote_mid_data_scientist,train,canonical,,,,
d043300271ea42d5cd8c03e10c1dbfca758bddbc3aae1d360128b31e10ab41dd,jobs_remote_mid_data_scientist,train,interface_repair,,,,
820be82f9b817edaf4ae0e06c6844fb4b163f87a70909e626f77cc1dbffe19d6,jobs_remote_mid_data_scientist,train,canonical,,,,
383cb9b1ae2f90c6f7466235b6fa185522e4dacc59588cdb9e4410cbf750dad7,jobs_remote_mid_data_scientist,train,interface_repair,,,,
c2f7c9c2476362578067146366dd39f46029faa9639d0ef00c8217040ce7824e,jobs_remote_mid_data_scientist,train,canonical,,,,
88b7aef1382fd01215da2a5309a27a9911d5dcd36ded2d39e7de3fe5bd41bb3f,jobs_remote_mid_data_scientist,train,interface_repair,,,,
431d5d94073f85289404d806f68b333fe10069a16cbb0f62b2f611a279f6d5b0,jobs_remote_mid_data_scientist,train,canonical,,,,
1b1ec549bb7adcfc45fcb0b71916dfd3d5e971f1a77f0355d805b63022dc4255,jobs_remote_mid_data_scientist,train,interface_repair,,,,
3550f61574892edc096bdc95d8d76410ccab04a6334d343d2dd0de1c8a2b7c2b,jobs_remote_mid_data_scientist,train,canonical,,,,
6581fa64c56bfd8877f13acca68533405c53ab5262bf7a660c9f5676ac611f1e,jobs_remote_mid_data_scientist,train,interface_repair,,,,
5e645b12d97cfbb52e405489c43490596bac47b53504c68054f4d5460ff942ca,jobs_remote_mid_data_scientist,train,canonical,,,,
